currency,rate_to_usd
AED,0.272294
ALL,0.009853
AMD,0.002025
ANG,0.558881
ARS,0.012105
ATS,0.088470
AUD,0.754476
AZM,0.000118
BAM,0.622446
BBD,0.500000
BDT,0.011797
BEF,0.030178
BHD,2.659574
BIF,0.000515
BND,0.750711
BOB,0.145203
BRL,0.194536
BSD,1.000000
BTN,0.013567
BYR,0.000039
CAD,0.781085
CDF,0.000508
CHF,1.125947
CLP,0.001371
CNY,0.152919
COP,0.000289
CRC,0.001653
CUP,0.037736
CVE,0.011040
CZK,0.046301
DEM,0.622433
DKK,0.163610
DOP,0.017187
DZD,0.007598
EEK,0.077804
EGP,0.063764
ESP,0.007317
ETB,0.025952
EUR,1.217398
FIM,0.204747
FJD,0.486117
FRF,0.185587
GBP,1.343595
GEL,0.304571
GHC,0.000017
GRD,0.003573
GTQ,0.128189
HKD,0.128988
HNL,0.041366
HRK,0.161497
HUF,0.003391
IDR,0.000071
IEP,1.545744
ILS,0.308197
INR,0.013567
IQD,0.000840
IRR,0.000024
ISK,0.007858
ITL,0.000629
JMD,0.006946
JOD,1.410437
JPY,0.009639
KES,0.009047
KGS,0.011989
KHR,0.000247
KRW,0.000914
KWD,3.278589
KZT,0.002378
LBP,0.000663
LKR,0.005340
LTL,0.352575
LUF,0.030178
LVL,1.732175
LYD,0.744278
MAD,0.111669
MDL,0.058044
MKD,0.019741
MMK,0.000749
MNT,0.000351
MOP,0.125231
MTL,2.835715
MUR,0.025241
MVR,0.064815
MXN,0.050132
MYR,0.246650
NAD,0.067311
NGN,0.002618
NLG,0.552419
NOK,0.115010
NPR,0.008440
NZD,0.709858
OMR,2.600780
PAB,1.000000
PEN,0.277744
PHP,0.020792
PKR,0.006236
PLN,0.271871
PTE,0.006072
PYG,0.000143
QAR,0.274725
ROL,0.000025
RON,0.250040
RWF,0.001018
SAR,0.266667
SDD,0.000181
SEK,0.119774
SGD,0.750711
SIT,0.005080
SKK,0.040409
SLL,0.000099
SYP,0.001950
THB,0.033262
TJS,0.088496
TND,0.372100
TRL,0.000000
TTD,0.147297
TWD,0.035500
TZS,0.000431
UAH,0.035486
UGX,0.000273
USD,1.000000
UYU,0.023577
VEB,0.000100
VND,0.000043
XAF,0.001856
XAU,1861.841451
XCD,0.370077
XOF,0.001856
ZAR,0.067311
ZMK,0.000047
