tconst,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,runtime,director,stars
tt2077677,3Simoa,2012.0,6.4,370,"A caper comedy about two friends, Simo and Lasse, who try to earn their living as burglars. But now there's also Baby Simo.",Comedy,Finland,Finnish,"EUR275,000","$93,296",1h 26min,Teemu Nikki,"Olli Rahkonen,Paula Vesala,Rami Rusinen"
tt0106332,Ba wang bie ji,1993.0,8.1,"24,830","""Farewell, My Concubine"" is a movie with two parallel, intertwined stories. It is the story of two performers in the Beijing Opera, stage brothers, and the woman who comes between them. At the same time, it attempts to do no less than squeeze the entire political history of China in the twentieth century into a three-hour time-frame.","Drama,Music,Romance","China,Hong Kong",Mandarin,"$4,000,000","$5,985,074",2h 51min,Kaige Chen,"Fengyi Zhang,Leslie Cheung,Li Gong"
tt0116421,The Glimmer Man,1996.0,5.4,"18,687","Jack Cole is a soft spoken, mystical, new age New York cop with a checkered past. He is transferred to Los Angeles to help Los Angeles cop Jim Campbell solve a series of brutal murders in which the victims are crucified. The murders that have happened since Jack arrived in Los Angeles just don't sit right with him. When the killer, known as the ""Family Man"", kills Ellen DunLeavy, who happens to be Jack's ex wife and the mother of his two kids, and Ellen's husband Andrew DunLeavy, it becomes personal - especially when Jack's prints are found on Ellen's body. Jack meets with his military mentor Smith, not knowing that Smith is in cahoots with local crime boss Frank Deverell.","Action,Comedy,Crime",USA,"Chinese,English,Russian","$45,000,000","$20,351,264",1h 31min,John Gray,"Bob Gunton,Keenen Ivory Wayans,Steven Seagal"
tt3170832,Room,2015.0,8.1,"365,849","ROOM tells the extraordinary story of Jack, a spirited 5-year-old who is looked after by his loving and devoted mother. Like any good mother, Ma dedicates herself to keeping Jack happy and safe, nurturing him with warmth and love and doing typical things like playing games and telling stories. Their life, however, is anything but typical--they are trapped--confined to a 10-by-10-foot space that Ma has euphemistically named Room. Ma has created a whole universe for Jack within Room, and she will stop at nothing to ensure that, even in this treacherous environment, Jack is able to live a complete and fulfilling life. But as Jack's curiosity about their situation grows, and Ma's resilience reaches its breaking point, they enact a risky plan to escape, ultimately bringing them face-to-face with what may turn out to be the scariest thing yet: the real world.","Drama,Thriller","Canada,Ireland,UK,USA",English,"$13,000,000","$35,401,758",1h 58min,Lenny Abrahamson,"Brie Larson,Jacob Tremblay,Sean Bridgers"
tt0204175,Boys and Girls,2000.0,5.4,"15,942","Jennifer and Ryan are students at UC Berkeley, acquaintances off and on since early adolescence. She's quick, witty, ironic, literary, and independent; he's deliberate, literal, serious, studying structural engineering, always working on a plan. They take walks, they console each other over break-ups, he shares his plans. She's headed for Italy after graduation. Then, to their equal surprise, they spend a night together. Her response is to skitter away from continued intimacy and want to stay friends; he's hurt by her response, so he withdraws. Can it all get sorted out before she leaves town?","Comedy,Drama,Romance",USA,English,"$35,000,000","$25,850,615",1h 34min,Robert Iscove,"Brendon Ryan Barrett,Claire Forlani,Freddie Prinze Jr."
tt0381505,Pretty Persuasion,2005.0,6.5,"9,872","Manipulative high school sophomore Kimberly Joyce leads her friends Brittany Wells and Randa Azzouni in bringing charges of sexual assault against Percy Anderson, their English and drama teacher at an exclusive private school in Beverly Hills. Meanwhile, local reporter Emily Klein, originally assigned to do an insignificant piece on the school, hopes that the scandal will launch her into celebrity in the television news business, while Kimberly's bigoted father, Hank, is concerned primarily with the effect that his daughter's accusations may have on his business.","Comedy,Drama",USA,English,"$2,500,000","$537,126",1h 50min,Marcos Siega,"Evan Rachel Wood,James Woods,Ron Livingston"
tt0436742,The Salon,2005.0,4.1,492,A beauty-shop owner finds romance as she struggles to save her business.,"Comedy,Drama",USA,English,"$1,500,000","$139,084",1h 30min,Mark Brown,"Darrin Dewitt Henson,Kym Whitley,Vivica A. Fox"
tt9214832,Emma.,2020.0,6.7,"25,674","Jane Austen's beloved comedy about finding your equal and earning your happy ending, is reimagined in this. Handsome, clever, and rich, Emma Woodhouse is a restless queen bee without rivals in her sleepy little town. In this glittering satire of social class and the pain of growing up, Emma must adventure through misguided matches and romantic missteps to find the love that has been there all along.","Comedy,Drama,Romance",UK,English,"$10,000,000","$25,919,223",2h 4min,Autumn de Wilde,"Anya Taylor-Joy,Johnny Flynn,Mia Goth"
tt8820590,T-34,2018.0,6.6,"8,784","The Great Patriotic War is going on. Junior Lieutenant Nikolay Ivushkin in a small truck, along with the driver Vasya, barely survived, break away from the German tank. Ivushkin arrives at the headquarters located in the village of Nefyodovka, where he is appointed commander of the only surviving tank. Soon the tanks of the German Hauptmann Klaus Jäger arrive at the site. In battle, Ivushkin destroys the entire tank company of Yager (in a number of cases, with one projectile, two tanks at a time). However, the T-34 has serious damage, and Klaus destroys it. Ivushkin and mechanic-driver Stepan Vasilyonok were wounded and captured.","Action,War",Russia,"German,Russian","$10,000,000","$35,950,901",2h 19min,Aleksey Sidorov,"Alexander Petrov,Irina Starshenbaum,Viktor Dobronravov"
tt0114906,Welcome to the Dollhouse,1995.0,7.4,"31,626","Seventh-grade is no fun. Especially for Dawn Weiner when everyone at school calls you 'Dog-Face' or 'Wiener-Dog.' Not to mention if your older brother is 'King of the Nerds' and your younger sister is a cutesy ballerina who gets you in trouble but is your parents' favorite. And that's just the beginning--her life seems to be falling apart when she faces rejection from the older guy in her brother's band that she has a crush on, her parents want to tear down her 'Special People's Club' clubhouse, and her sister is abducted....","Comedy,Drama",USA,English,"$800,000","$4,569,019",1h 28min,Todd Solondz,"Christina Brucato,Heather Matarazzo,Victoria Davis"
